"","dt-time","Activity","Immediate.Spread","Focal","Subgroup"
"549",2014-11-17 10:00:00,"FORAGING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"550",2014-11-17 10:15:00,"FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"551",2014-11-17 10:30:00,"FORAGING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"552",2014-11-17 10:45:00,"RESTING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"553",2014-11-17 11:00:00,"RESTING/FORAGING/","<75/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"554",2014-11-17 11:15:00,"FORAGING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"555",2014-11-17 11:30:00,"MOVING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"556",2014-11-17 11:45:00,"MOVING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"557",2014-11-17 12:00:00,"FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"558",2014-11-17 12:15:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"559",2014-11-17 12:30:00,"FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"560",2014-11-17 12:45:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"561",2014-11-17 13:00:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"562",2014-11-17 13:15:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"563",2014-11-17 13:30:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"564",2014-11-17 13:45:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"565",2014-11-17 14:00:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"566",2014-11-17 14:15:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"567",2014-11-17 14:30:00,"RESTING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"568",2014-11-17 14:45:00,"MOVING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"569",2014-11-17 15:00:00,"MOVING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"570",2014-11-17 15:15:00,"MOVING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"571",2014-11-17 15:30:00,"MOVING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"572",2014-11-17 15:45:00,"FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"573",2014-11-17 16:00:00,"MOVING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"574",2014-11-17 16:15:00,"FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"575",2014-11-17 16:30:00,"FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"576",2014-11-17 16:45:00,"MOVING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"577",2014-11-17 17:00:00,"MOVING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"578",2014-11-17 17:15:00,"MOVING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"579",2014-11-17 17:30:00,"MOVING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
